1187, AEDP-04 Ed 2 Ver 1,NATO Secondary Imagery Format (NSIF) STANAG 4545 Implementation Guide                                                                                                                                                                                                                                                                                                                                                                                                                                               ,NISP Standard
1188, WS-BrokNotif. 1.3,WS-BrokeredNotification 1.3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,NISP Standard
1189, PDF 2.0,Document management -- Portable document format -- Part 2: PDF 2.0                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,NISP Standard
1190, RFC 2644,Changing the Default for Directed Broadcasts in Routers                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,NISP Standard
1191, RFC 4360: BGP-4 ext. attr,BGP Extended Communities Attribute                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,NISP Standard
1192, ACP 121(I),Comms Instructions - General                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,NISP Standard
1193, ACP 100 NS-1(P),Address Indicating Groups - Instructions and Assignments                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,NISP Standard
1194, Security Framework - Part 7,Security Framework in Open Systems Part 7: Security audit and alarms framework                                                                                                                                                                                                                                                                                                                                                                                                                                      ,NISP Standard
1195, SCIP-221,SCIP Minimum Implementation Profile (MIP) rev.3.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,NISP Standard
1196, RFC 3262: Reliability SIP,Reliability of Provisional Responses in the Session Initiation Protocol (SIP)                                                                                                                                                                                                                                                                                                                                                                                                                                       ,NISP Standard
1197, WS Base Faults 1.2,Web Services Base Faults 1.2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,NISP Standard
1198, OTH-T Gold,Over-The-Horizon Targeting Gold baseline 2007                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,NISP Standard
1199, RFC 5545: iCalendar,Internet Calendaring and Scheduling Core Object Specification (iCalendar)                                                                                                                                                                                                                                                                                                                                                                                                                                           ,NISP Standard
1200, GeoPackage,OGC GeoPackage Encoding Standard V1.0.                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,NISP Standard
1201,ISO 22396:2020,Security and resilience - Community resilience - Guidelines for information exchange between organizations                                                                                                                                                                                                                                                                                                                                                                                                          ,Roadmap Standard
1202, TIFF UNC and G4,TIFF Revision 6.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,NISP Standard
1203, RFC 3260,New Terminology and Clarifications for Diffserv                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,NISP Standard
1204, OpenGIS CTS,OpenGIS Coordinate Transformation Services                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,NISP Standard
1206, WMTS,OpenGIS Web Map Tile Service Implementation Standard                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,NISP Standard
1207, IP QoS,IP QoS for the NII                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,NISP Standard
1208, SQL Foundation,Database languages - SQL - Part 2: Foundation(SQL/Foundation)                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,NISP Standard
1209, STANAG 5518 Ed 1,Standard for Joint Range Extension Application Protocol (JREAP)                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,NISP Standard
1210, SEDRIS,SEDRIS functional specification                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,NISP Standard
1211,NetJSON,NetJSON: Data interchange format for networks                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,Other standard
1212, RFC 2410: IPsec NULL,The NULL Encryption Algorithm and Ist Use With IPSec                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,NISP Standard
1213, CGI Part 3: Output,CGI Part 3: Output                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,NISP Standard
1214, RFC 2236: IGMP v2,"Internet Group Management Protocol, Version 2                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ",NISP Standard
1215, GPS (STANAG 4294 Ed 2 Part 1),Navstar Global Positioning System (GPS)(PART I) Summary Of Performance Requirements                                                                                                                                                                                                                                                                                                                                                                                                                                 ,NISP Standard
1216, AEDP-17 Ed A Ver 1,NATO Standard ISR Library Interface                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,NISP Standard
1217, RFC 4271: BGP-4,Border Gateway Protocol 4 (BGP-4)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,NISP Standard
1218, SCIP-233.519,Secure Full Bandwidth (FB) Data rev.1.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,NISP Standard
1219, VLAN 802.1Q,Virtual Bridged Local Area Networks                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,NISP Standard
1220, RFC 5280: PKIX Certificate and CRL Profile,Internet X.509 Public Key Infrastructure Certificate and CRL Profile                                                                                                                                                                                                                                                                                                                                                                                                                                                ,NISP Standard
1221, RFC 3687,LDAP Component Matching Rules                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,NISP Standard
1222, STANAG 5067 Ed 1,Standard for Interconnection of IPv4 Networks at Mission Secret and Unclassified Security Levels                                                                                                                                                                                                                                                                                                                                                                                                                    ,NISP Standard
1223, ADatP-37 Ed A Ver 1,Services to forward Friendly Force Information to Weapon Delivery Assets                                                                                                                                                                                                                                                                                                                                                                                                                                            ,NISP Standard
1224, SCIP-213.1,Mulitimedia Option-Specific MERs for SCIP Devices rev.1.0                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,NISP Standard
1225, RFC 3595: Textual Conventions for IPv6 Flow Label,Textual Conventions for IPv6 Flow Label                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,NISP Standard
1226, RFC 4513,LDAP: Authentication Methods and Security Mechanisms                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,NISP Standard
1227,OCI Image Format Specification v. 1.0.1,Open Container Initiative Image Format Specification                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,Roadmap Standard
1228, RFC 2640,Internationalization of the File Transfer Protocol                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,NISP Standard
1229, CGI Part 2: Control,CGI Part 2: Control                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,NISP Standard
1230, RFC 3672,Subentries in LDAP                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,NISP Standard
1231, RFC 3920,Extensible Messaging and Presence Protocol (XMPP): Core                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,NISP Standard
1232,STANAG 5516 Ed 3,STANAG 5516 Ed 3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,Other standard
1233, MHEG part 3,MHEG Part 3: MHEG script interchange representation                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,NISP Standard
1234, STANAG 5528 Ed 1,Services to forward Friendly Force Information to Weapon Delivery Assets - ADatP-37 Edition A                                                                                                                                                                                                                                                                                                                                                                                                                       ,NISP Cover Document
1235, RFC 2409: IKE,The Internet Key Exchange (IKE)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,NISP Standard
1236,NSILI,NISP Standard - NSILI                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,Other standard
1237, RFC 7444: Security Labels in Internet Email,Security Labels in Internet Email                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,NISP Standard
1238, LC-duplex single-mode connector,Interface standard for LC connectors with protective housings related to IEC 61076-3-106                                                                                                                                                                                                                                                                                                                                                                                                                            ,NISP Standard
1239, AJP-3.1,Allied Joint Doctrine for Maritime Operations                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,NISP Standard
1240,TMForum TMF633,TMF633 Service Catalog API User Guide r20.5                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,Other standard
1241, RFC 3162: Radius and IPv6,RADIUS and IPv6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,NISP Standard
1242, GeoRSS Simple,GML application schema for the Simple and GML serializations of GeoRSS                                                                                                                                                                                                                                                                                                                                                                                                                                              ,NISP Standard
1243, SCIP-233.151,CRC Calculations Specifications Rev. 1.0.                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,NISP Standard
1244, RFC 3928,LDAP Client Update Protocol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,NISP Standard
1245, ITU E.123,"Notation for national and international telephone numbers, e-mail addresses and web addresses                                                                                                                                                                                                                                                                                                                                                                                                                       ",NISP Standard
1246, XEP-0033,XEP-0033: Extended Stanza Addressing                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,NISP Standard
1247, STANAG 5030 Ed 4,Single and Multichannel VLF and LF On-Line Broadcast and Off-Line OOK Systems                                                                                                                                                                                                                                                                                                                                                                                                                                       ,NISP Standard
1248, RFC 2814: SBM,SBM (Subnet Bandwidth Manager): A Protocol for RSVP-based Admission Control over IEEE 802-style networks                                                                                                                                                                                                                                                                                                                                                                                                            ,NISP Standard
1249, STANAG 4538 Ed 1,Technical Standards for an Automatic Radio Control System (ARCS) for HF Communication Links                                                                                                                                                                                                                                                                                                                                                                                                                         ,NISP Standard
1250, RFC 2047,MIME - Part 3: Message Header Extensions for Non-ASCII Text                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,NISP Standard
1251, CSS 3 Colors,CSS Color Module Level 3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,NISP Standard
1252, AComP-5067 Ed A Ver 1,Standard for Interconnection of IPv4 and IPv6 Networks at Mission Secret and Unclassified Security Levels                                                                                                                                                                                                                                                                                                                                                                                                           ,NISP Standard
1253, RFC 922: Broadcasting (with subnets),Broadcasting Internet datagrams in the presence of subnets                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,NISP Standard
1254, STANAG 4494 Ed 1,Advanced SATCOM Network Management and Control Engineering Order Wire                                                                                                                                                                                                                                                                                                                                                                                                                                               ,NISP Standard
1255, SCIP-231,"Secure Communications Interoperability Protocol ECMQV/AES Cryptography Specification, rev.1.3                                                                                                                                                                                                                                                                                                                                                                                                                       ",NISP Standard
1256, TACOMS: Element Performance,TACOMS: Element Performance                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,NISP Standard
1257, RFC 6066,Transport Layer Security (TLS) Extensions: Extension Definitions                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,NISP Standard
1258, STANAG 5068 Ed 1,Secure Communications Interoperability Protocol (SCIP) - AComP-5068 EDITION A                                                                                                                                                                                                                                                                                                                                                                                                                                       ,NISP Cover Document
1259, ATDLP-7.33(B)(1),"Multi-Link Standard Operating Procedures for Tactical Data Systems Employing Link 11, Link 11B, Link 16, Link 22 and JREAP                                                                                                                                                                                                                                                                                                                                                                                          ",NISP Standard
1260, STANAG 5000 Ed 3,Interoperability of Tactical Digital Facsimile Equipment                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,NISP Standard
1261, RFC 3711: SRTP,The Secure Real-time Transport Protocol (SRTP)                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,NISP Standard
1262, RFC 4954: SMTP Auth,SMTP Service Extension for Authentication                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,NISP Standard
1263, RFC 2507: IP Header Compression,IP Header Compression                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,NISP Standard
1264, STANAG 4722 Ed 1,Technical Characteristics of Reverse IFF using Mode 5 Waveform - AEtP-4722 Edition A                                                                                                                                                                                                                                                                                                                                                                                                                                ,NISP Cover Document
1265, OVF,Open Virtualization Format (OVF) specification                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,NISP Standard
1266, STANAG 4559 Ed 4,NATO Standard ISR Library Interface (NSILI) - AEDP-17 Edition A & AEDP-18 Edition A & AEDP-19 Edition A                                                                                                                                                                                                                                                                                                                                                                                                             ,NISP Cover Document
1267, STANAG 5511 Ed 8,Tactical Data Exchange - Link 11/11B                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,NISP Standard
1268, MIL-PRF-89033,Vector Smart Map (VMAP) Level 1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,NISP Standard
1269, RFC 3258,Distributing Authoritative Name Servers via Shared Unicast Addresses                                                                                                                                                                                                                                                                                                                                                                                                                                                ,NISP Standard
1270, RFC 2454: IPv6 MIB for UDP,IP Version 6 Management Information Base for the User Datagram Protocol                                                                                                                                                                                                                                                                                                                                                                                                                                             ,NISP Standard
1271, OASIS Web Services Federation Language (WS-Federation) 1.1,Web Services Federation Language (WS-Federation) Version 1.1                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,NISP Standard
